usage,social_network,share
Registered,Water,0.07
Open,Water,0.04
Closed,Water,0.02
Not Fixable,Water,0.04
Duplicate,Water,0.03
Registered,Sewage,0.03
Open,Sewage,0.08
Closed,Sewage,0.07
Not Fixable,Sewage,0.08
Duplicate,Sewage,0.04
Registered,Pothole,0.08
Open,Pothole,0.07
Closed,Pothole,0.07
Not Fixable,Pothole,0.03
Duplicate,Pothole,0.05
Registered,Electricity,0.06
Open,Electricity,0.07
Closed,Electricity,0.08
Not Fixable,Electricity,0.01
Duplicate,Electricity,0.08
Registered,Drainage,0.01
Open,Drainage,0.04
Closed,Drainage,0.06
Not Fixable,Drainage,0.02
Duplicate,Drainage,0.06
Registered,Billing,0.08
Open,Billing,0.06
Closed,Billing,0.08
Not Fixable,Billing,0.08
Duplicate,Billing,0.06
